Avg_Lon,Avg_Lat,Duration,Datetimes,Year,Month,Pacific,West_Pacific,Central_Pacific,East_Pacific,North_America,Atlantic,Europe_and_Africa,Asia,El_Nino,La_Nina,Neutral,Positive_PDO,Negative_PDO,MJO_Phase
24.3175487465181,64.7191011235955,7,01-Jan-1990 00:00:00,1990,1,0,0,0,0,0,0,1,0,0,0,1,0,1,3
17.3725814951442,18.9128454296994,36,01-Jan-1990 00:00:00,1990,1,0,0,0,0,0,0,1,0,0,0,1,0,1,3
61.1699164345404,27.3033707865168,4,01-Jan-1990 00:00:00,1990,1,0,0,0,0,0,0,0,1,0,0,1,0,1,3
101.366680495466,64.9342577097777,46,01-Jan-1990 00:00:00,1990,1,0,0,0,0,0,0,0,1,0,0,1,0,1,3
96.9693593314763,17.2921348314607,9,01-Jan-1990 00:00:00,1990,1,0,0,0,0,0,0,0,1,0,0,1,0,1,3
157.938718662953,41.8820224719101,23,01-Jan-1990 00:00:00,1990,1,1,1,0,0,0,0,0,0,0,0,1,0,1,3
206.573816155989,36.6067415730337,4,01-Jan-1990 00:00:00,1990,1,1,0,1,0,0,0,0,0,0,0,1,0,1,3
253.454038997214,58.4620786516854,31,06-Jan-1990 00:00:00,1990,1,0,0,0,0,1,0,0,0,0,0,1,0,1,4
294.373259052925,44.2696629213483,8,01-Jan-1990 00:00:00,1990,1,0,0,0,0,0,1,0,0,0,0,1,0,1,3
327.2030149107,53.5955056179775,16,01-Jan-1990 18:00:00,1990,1,0,0,0,0,0,1,0,0,0,0,1,0,1,3
137.047353760446,22.8089887640449,8,03-Jan-1990 00:00:00,1990,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4
181.704735376045,39.438202247191,4,03-Jan-1990 00:00:00,1990,1,1,0,1,0,0,0,0,0,0,0,1,0,1,4
90.1392757660167,51.685393258427,8,04-Jan-1990 00:00:00,1990,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4
27.4763231197772,24.2696629213483,4,04-Jan-1990 00:00:00,1990,1,0,0,0,0,0,0,1,0,0,0,1,0,1,4
116.122562674095,16.9887640449438,4,04-Jan-1990 00:00:00,1990,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4
203.422204536411,43.2905296950241,20,02-Jan-1990 12:00:00,1990,1,1,0,1,0,0,0,0,0,0,0,1,0,1,3
62.7035883991479,32.5974884335757,16,05-Jan-1990 00:00:00,1990,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4
127.040389972145,22.2471910112359,15,06-Jan-1990 00:00:00,1990,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4
187.409470752089,39.5505617977528,8,06-Jan-1990 00:00:00,1990,1,1,0,1,0,0,0,0,0,0,0,1,0,1,4
226.629526462396,70.9887640449438,4,06-Jan-1990 00:00:00,1990,1,1,0,0,1,0,0,0,0,0,0,1,0,1,4
307.052924791086,68.561797752809,4,06-Jan-1990 00:00:00,1990,1,0,0,0,0,0,1,0,0,0,0,1,0,1,4
71.6818749399673,70.2285935683844,28,06-Jan-1990 00:00:00,1990,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4
170.67126995959,30.7786042095268,70,07-Jan-1990 00:00:00,1990,1,1,1,0,0,0,0,0,0,0,0,1,0,1,4
314.768295771081,59.6016343207354,65,07-Jan-1990 00:00:00,1990,1,0,0,0,0,0,1,0,0,0,0,1,0,1,4
327.309192200557,47.5280898876404,4,08-Jan-1990 00:00:00,1990,1,0,0,0,0,0,1,0,0,0,0,1,0,1,4
56.6573816155989,21.8679775280899,15,09-Jan-1990 00:00:00,1990,1,0,0,0,0,0,0,1,0,0,0,1,0,1,4
207.493036211699,42.3033707865169,11,08-Jan-1990 00:00:00,1990,1,1,0,1,0,0,0,0,0,0,0,1,0,1,4
343.888579387186,55.6179775280899,14,09-Jan-1990 00:00:00,1990,1,0,0,0,0,0,0,1,0,0,0,1,0,1,4
37.5328292877039,28.7479935794543,6,11-Jan-1990 00:00:00,1990,1,0,0,0,0,0,0,1,0,0,0,1,0,1,4
49.1364902506964,73.8202247191011,4,12-Jan-1990 00:00:00,1990,1,0,0,0,0,0,0,1,0,0,0,1,0,1,4
91.5620312834797,48.9282627484875,12,12-Jan-1990 00:00:00,1990,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4
194.363427822382,34.1440846001322,16,12-Jan-1990 00:00:00,1990,1,1,0,1,0,0,0,0,0,0,0,1,0,1,4
212.134717650038,64.3513789581205,10,13-Jan-1990 18:00:00,1990,1,1,0,1,0,0,0,0,0,0,0,1,0,1,4
30.08356545961,38.2247191011236,4,13-Jan-1990 00:00:00,1990,1,0,0,0,0,0,0,1,0,0,0,1,0,1,4
70.1949860724234,66.5393258426966,4,13-Jan-1990 00:00:00,1990,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4
39.4676570721139,27.5280898876404,80,14-Jan-1990 00:00:00,1990,1,0,0,0,0,0,0,1,0,0,0,1,0,1,4
135.20164708732,63.2242305813385,22,14-Jan-1990 00:00:00,1990,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4
87.6721050537207,33.5152487961477,6,15-Jan-1990 00:00:00,1990,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4
71.3983286908078,20.4269662921348,4,15-Jan-1990 00:00:00,1990,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4
